headline,summary,date,link
îáæ÷éí,äëãåøâìï àðãøñ àéðééñèä äåãéò òì ôøéùä îáøöìåðä,"Fri, 27 Apr 2018 15:03:29 +0200","http://www.ynet.co.il/articles/0,7340,L-5243298,00.html"
îáæ÷éí,äâï äìàåîé òéï òáãú ðñâø ìëðéñú îá÷øéí áùì îæâ äàååéø,"Fri, 27 Apr 2018 14:48:15 +0200","http://www.ynet.co.il/articles/0,7340,L-5243295,00.html"
îáæ÷éí,äåôñ÷å äçéôåùéí àçø ðäâ äîùàéú äðòãø áãøåí áùì çùù îùéèôåðåú,"Fri, 27 Apr 2018 14:42:00 +0200","http://www.ynet.co.il/articles/0,7340,L-5243293,00.html"
îáæ÷éí,ò÷á äùéèôåðåú: çùù ìú÷éðåú òæøé äáèéçåú áòøåöé ðçìéí,"Fri, 27 Apr 2018 14:36:42 +0200","http://www.ynet.co.il/articles/0,7340,L-5243287,00.html"
îáæ÷éí,àìéôåú àéøåôä áâ'åãå: ùâéà îå÷é òìä ìçöé äâîø,"Fri, 27 Apr 2018 14:20:36 +0200","http://www.ynet.co.il/articles/0,7340,L-5243284,00.html"
îáæ÷éí,îçùù ìùéèôåðåú: îøçá äúðåòä áàæåø éí äîìç åãéîåðä ðñâø,"Fri, 27 Apr 2018 14:00:05 +0200","http://www.ynet.co.il/articles/0,7340,L-5243270,00.html"
îáæ÷éí,"èøàîô: ""äîìçîä á÷åøéàä äåìëú ìäñúééí""","Fri, 27 Apr 2018 13:57:24 +0200","http://www.ynet.co.il/articles/0,7340,L-5243273,00.html"
îáæ÷éí,ðòøä áú 15 ðîöàä ììà øåç çééí ááéúä ùáîøëæ äàøõ,"Fri, 27 Apr 2018 13:52:11 +0200","http://www.ynet.co.il/articles/0,7340,L-5243268,00.html"
îáæ÷éí,äàñåï áðçì: äåàøê îòöø øàù äîëéðä äçùåã áâøéîú îååú áøùìðåú,"Fri, 27 Apr 2018 13:38:14 +0200","http://www.ynet.co.il/articles/0,7340,L-5243249,00.html"
îáæ÷éí,áøéèðéä: áðí ùì äðñéê åéìéàí å÷ééè îéãìèåï éé÷øà ìåàé àøúåø ö'àøìñ,"Fri, 27 Apr 2018 13:21:20 +0200","http://www.ynet.co.il/articles/0,7340,L-5243228,00.html"
